sep=;
#Month;Maximum;Upper quartile;Median;Lower quartile;Minimum
January;5.90;4.00;2.00;2.00;2.00
February;5.71;5.63;5.60;5.59;5.58
April;5.68;5.18;4.30;2.80;2.70
May;5.80;5.76;5.72;5.47;4.30
June;3.80;3.80;3.80;3.65;3.20
July;3.40;3.40;3.25;3.03;2.80
August;8.40;7.80;5.10;4.80;4.40
September;5.62;5.03;4.73;3.95;3.40
October;7.60;7.60;7.60;7.60;7.60
November;5.80;5.80;3.40;3.25;3.10
December;9.20;7.20;4.80;4.60;4.40
All;9.20;5.64;4.70;3.40;2.00
