sep=;
#Month;Maximum;Upper quartile;Median;Lower quartile;Minimum
January;63.30;63.30;63.30;63.30;63.30
February;13.20;13.00;12.90;11.38;10.90
April;13.20;13.05;13.00;12.95;12.80
July;109.00;103.75;58.95;18.50;18.30
September;19.70;19.10;18.80;10.61;7.88
November;45.80;44.83;44.50;43.95;42.30
December;15.70;15.40;15.30;15.23;15.00
All;109.00;42.85;18.40;13.15;7.88
